"Offense","Defense","Home","Offense Score","Defense Score","Period","Clock Minutes","Clock Seconds","Offense Timeouts","Defense Timeouts","Yards To Goal","Down","Distance","Scoring","Yards Gained","Play Type"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","1","31","3","3","63","1","10","false","15","Penalty"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","1","31","3","3","29","1","10","false","9","Pass Reception"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","0","27","2","3","15","1","10","false","0","Timeout"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","0","27","2","3","20","2","1","false","5","Rush"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","0","27","2","3","15","1","10","false","-5","Penalty"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","0","27","2","3","20","1","15","false","0","Pass Incompletion"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","0","27","2","3","20","2","15","false","6","Pass Reception"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","0","27","2","3","14","3","9","false","12","Penalty"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","0","6","1","3","1","2","1","false","0","Timeout"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","0","6","1","3","2","1","2","false","1","Rush"
"UTEP","Jacksonville State","Jacksonville State","7","10","2","0","0","1","3","1","2","1","true","1","Rushing Touchdown"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","0","0","1","3","65","0","0","false","0","End of Half"
"Jacksonville State","UTEP","Jacksonville State","10","7","3","15","0","3","3","65","0","0","false","0","Kickoff"
"UTEP","Jacksonville State","Jacksonville State","7","10","3","15","0","3","3","75","1","10","false","4","Rush"
"UTEP","Jacksonville State","Jacksonville State","7","10","3","15","0","3","3","71","2","6","false","20","Rush"
"UTEP","Jacksonville State","Jacksonville State","7","10","3","15","0","3","3","51","1","10","false","-1","Rush"
"UTEP","Jacksonville State","Jacksonville State","7","10","3","12","55","3","3","52","2","11","false","0","Interception"
"Jacksonville State","UTEP","Jacksonville State","10","7","3","12","55","3","3","59","1","10","false","5","Rush"
"Jacksonville State","UTEP","Jacksonville State","10","7","3","12","55","3","3","54","2","5","false","15","Rush"
"Jacksonville State","UTEP","Jacksonville State","10","7","3","12","55","3","3","39","1","10","false","3","Rush"
