"Id","School"
"1000033","Loyola (LA)"
"1000034","Loyola Marymount"
"1000035","Lubbock Field"
"1000036","Manhattan"
"1000037","March Field"
"1000038","Mare Island Marines"
"1000039","Marquette"
"1000040","Nashville"
"1000041","New York University"
"1000042","Norman Naval Air Station"
"1000043","Oglethorpe"
"1000044","Pacific"
"1000045","Phillips"
"1000046","Portland"
"1000047","Quantico Marines"
"1000048","Randolph Field"
"1000049","Regis (CO)"
"1000050","Saint Louis"
"1000051","Saint Mary's (CA)"
"1000053","Second Air Force"
"1000054","Spring Hill"
"1000055","Stevens"
"1000056","Tampa"
"1000057","Tennessee Medical College"
"1000058","Texas-Arlington"
"1000059","Union (NY)"
"1000060","Vermont"
"1000061","Wesleyan (CT)"
"1000062","Whitman"
"1000063","Wichita State"
"1000064","Xavier"
"1000065","Saint Mary's (CA) Pre-Flight"
"1000066","City College of New York"
"1000067","Eton"
"1000068","Canada All-Stars"
"1000069","McGill"
"1000070","Philadelphia All-Stars"
"1000071","Stevens Alumni"
"1000072","Britannia"
"1000073","Pennsylvania Military"
"1000074","Ottawa"
"1000075","Crescent A.C."
"1000076","Montreal"
"1000077","Princeton Alumni"
"1000078","British Club of New York"
"1000079","Detroit A.C."
"1000080","Brooklyn Polytechnic Institute"
"1000081","Seton Hall"
"1000082","Pennsylvania Alumni"
"1000083","Lewisburg A.C."
"1000084","Yale/Princeton/Harvard Grads"
"1000085","Yale Alumni"
"1000086","Columbia Law"
"1000087","Falls of Schuylkill"
"1000088","Tioga"
"1000089","Andover"
"1000090","Exeter"
"1000091","Vineland"
"1000092","Harvard Alumni"
"1000093","Active Football Club"
"1000094","Harvard B"
"1000095","Williston"
"1000096","Olympic A.C."
"1000097","Palmyra"
"1000098","Wyoming Seminary"
"1000099","Ridgefield A.C."
"1000100","Orange A.C."
"1000101","Boston A.C."
"1000102","Manhattan A.C."
"1000103","Swarthmore Alumni"
"1000104","Columbia A.C."
"1000105","Troy Laureates"
"1000106","New York A.C."
"1000107","Schuylkill Navy"
"1000108","Lehigh A.C."
"1000109","Chicago A.C."
"1000110","Connecticut Literary"
"1000111","Fall River"
"1000112","Berkeley A.C."
"1000113","St. John's (Maryland)"
"1000114","Princeton A.C."
"1000115","Montclair A.C."
